BackgroundIntensity;speed
0;{}
0.01;{}
0.0105;{}
0.011;{}
0.0115;{}
0.012;{}
0.0125;{{765, 0.018718526237873644}}
0.013;{{750, 0.02222824990747495}}
0.0135;{{740, 0.02222824990747495}}
0.014;{{725, 0.02735784603996917}}
0.0145;{{710, 0.029637666543299933}}
0.015;{{700, 0.029637666543299933}}
0.0155;{{695, 0.03233199986541811}}
0.016;{{685, 0.03233199986541811}, {835, 0.018718526237873644}}
0.0165;{{680, 0.03556519985195992}, {815, 0.02092070579527054}}
0.017;{{670, 0.03556519985195992}, {790, 0.025403714179971375}}
0.0175;{{665, 0.039516888724399915}, {775, 0.02735784603996917}}
0.018;{{675, 0.039516888724399915}, {785, 0.02735784603996917}}
0.0185;{{665, 0.039516888724399915}, {770, 0.029637666543299933}}
0.019;{{660, 0.0444564998149499}, {760, 0.029637666543299933}}
0.0195;{{655, 0.039516888724399915}, {750, 0.03556519985195992}, {885, 0.02092070579527054}}
0.02;{{660, 0.0444564998149499}, {755, 0.03233199986541811}, {905, 0.018718526237873644}}
0.0205;{{660, 0.0444564998149499}, {750, 0.03556519985195992}, {880, 0.02222824990747495}}
0.021;{{650, 0.0444564998149499}, {740, 0.03556519985195992}, {855, 0.02735784603996917}}
0.0215;{{650, 0.0444564998149499}, {735, 0.039516888724399915}, {845, 0.02735784603996917}}
0.022;{{645, 0.05080742835994275}, {725, 0.039516888724399915}, {830, 0.029637666543299933}}
0.0225;{{640, 0.0444564998149499}, {720, 0.0444564998149499}, {815, 0.03233199986541811}, {955, 0.02092070579527054}}
0.023;{{635, 0.05080742835994275}, {710, 0.0444564998149499}, {800, 0.03556519985195992}, {925, 0.023710133234639948}}
0.0235;{{635, 0.05080742835994275}, {710, 0.0444564998149499}, {795, 0.039516888724399915}, {900, 0.029637666543299933}}
0.024;{{630, 0.059275333086599866}, {700, 0.0444564998149499}, {785, 0.039516888724399915}, {885, 0.03233199986541811}, {1030, 0.019758444362199958}}
0.0245;{{625, 0.05080742835994275}, {695, 0.05080742835994275}, {775, 0.039516888724399915}, {870, 0.03556519985195992}, {990, 0.025403714179971375}}
0.025;{{620, 0.059275333086599866}, {690, 0.0444564998149499}, {770, 0.0444564998149499}, {855, 0.039516888724399915}, {960, 0.029637666543299933}}
0.0255;{{620, 0.059275333086599866}, {685, 0.05080742835994275}, {760, 0.0444564998149499}, {845, 0.039516888724399915}, {940, 0.03556519985195992}, {1070, 0.02222824990747495}}
0.026;{{620, 0.059275333086599866}, {685, 0.05080742835994275}, {755, 0.05080742835994275}, {830, 0.0444564998149499}, {920, 0.03556519985195992}, {1030, 0.029637666543299933}}
0.0265;{{610, 0.059275333086599866}, {675, 0.05080742835994275}, {745, 0.05080742835994275}, {820, 0.0444564998149499}, {905, 0.039516888724399915}, {1000, 0.03556519985195992}, {1120, 0.025403714179971375}}
0.027;{{610, 0.059275333086599866}, {675, 0.05080742835994275}, {745, 0.05080742835994275}, {815, 0.05080742835994275}, {895, 0.039516888724399915}, {985, 0.039516888724399915}, {1085, 0.03233199986541811}, {1220, 0.02222824990747495}}
0.0275;{{610, 0.059275333086599866}, {670, 0.059275333086599866}, {735, 0.05080742835994275}, {805, 0.05080742835994275}, {880, 0.0444564998149499}, {965, 0.039516888724399915}, {1055, 0.039516888724399915}, {1160, 0.029637666543299933}, {1310, 0.019758444362199958}}
0.028;{{605, 0.07113039970391984}, {665, 0.05080742835994275}, {730, 0.059275333086599866}, {795, 0.05080742835994275}, {870, 0.0444564998149499}, {950, 0.0444564998149499}, {1030, 0.0444564998149499}, {1115, 0.039516888724399915}, {1215, 0.03233199986541811}, {1350, 0.02222824990747495}}
0.0285;{{600, 0.059275333086599866}, {660, 0.059275333086599866}, {725, 0.05080742835994275}, {795, 0.05080742835994275}, {865, 0.05080742835994275}, {935, 0.05080742835994275}, {1010, 0.0444564998149499}, {1090, 0.0444564998149499}, {1170, 0.0444564998149499}, {1260, 0.03556519985195992}, {1365, 0.03233199986541811}, {1510, 0.019758444362199958}}
