BackgroundIntensity;distance;Membrane GEF @ illuminated pole @ t=0;Membrane GEF @ non-illuminated pole @ t=0;Cytosol GEF @ illuminated pole @ t=0;Cytosol GEF @ non-illuminated pole @ t=0;Membrane GEF @ illuminated pole @ t=300;Membrane GEF @ non-illuminated pole @ t=300;Cytosol GEF @ illuminated pole @ t=300;Cytosol GEF @ non-illuminated pole @ t=300;Membrane GEF @ illuminated pole @ t=600;Membrane GEF @ non-illuminated pole @ t=600;Cytosol GEF @ illuminated pole @ t=600;Cytosol GEF @ non-illuminated pole @ t=600;Membrane GEF @ illuminated pole @ t=900;Membrane GEF @ non-illuminated pole @ t=900;Cytosol GEF @ illuminated pole @ t=900;Cytosol GEF @ non-illuminated pole @ t=900;Membrane GEF @ illuminated pole @ t=1200;Membrane GEF @ non-illuminated pole @ t=1200;Cytosol GEF @ illuminated pole @ t=1200;Cytosol GEF @ non-illuminated pole @ t=1200;Membrane GEF @ illuminated pole @ t=1500;Membrane GEF @ non-illuminated pole @ t=1500;Cytosol GEF @ illuminated pole @ t=1500;Cytosol GEF @ non-illuminated pole @ t=1500;Membrane GEF @ illuminated pole @ t=1800;Membrane GEF @ non-illuminated pole @ t=1800;Cytosol GEF @ illuminated pole @ t=1800;Cytosol GEF @ non-illuminated pole @ t=1800;Membrane GEF @ illuminated pole @ t=2100;Membrane GEF @ non-illuminated pole @ t=2100;Cytosol GEF @ illuminated pole @ t=2100;Cytosol GEF @ non-illuminated pole @ t=2100;Membrane GEF @ illuminated pole @ t=2400;Membrane GEF @ non-illuminated pole @ t=2400;Cytosol GEF @ illuminated pole @ t=2400;Cytosol GEF @ non-illuminated pole @ t=2400;Membrane GEF @ illuminated pole @ t=2700;Membrane GEF @ non-illuminated pole @ t=2700;Cytosol GEF @ illuminated pole @ t=2700;Cytosol GEF @ non-illuminated pole @ t=2700;Membrane GEF @ illuminated pole @ t=3000;Membrane GEF @ non-illuminated pole @ t=3000;Cytosol GEF @ illuminated pole @ t=3000;Cytosol GEF @ non-illuminated pole @ t=3000;Membrane GEF @ illuminated pole @ t=3300;Membrane GEF @ non-illuminated pole @ t=3300;Cytosol GEF @ illuminated pole @ t=3300;Cytosol GEF @ non-illuminated pole @ t=3300;Membrane GEF @ illuminated pole @ t=3600;Membrane GEF @ non-illuminated pole @ t=3600;Cytosol GEF @ illuminated pole @ t=3600;Cytosol GEF @ non-illuminated pole @ t=3600;Membrane GEF @ illuminated pole @ t=3900;Membrane GEF @ non-illuminated pole @ t=3900;Cytosol GEF @ illuminated pole @ t=3900;Cytosol GEF @ non-illuminated pole @ t=3900;Membrane GEF @ illuminated pole @ t=4200;Membrane GEF @ non-illuminated pole @ t=4200;Cytosol GEF @ illuminated pole @ t=4200;Cytosol GEF @ non-illuminated pole @ t=4200;Membrane GEF @ illuminated pole @ t=4500;Membrane GEF @ non-illuminated pole @ t=4500;Cytosol GEF @ illuminated pole @ t=4500;Cytosol GEF @ non-illuminated pole @ t=4500;Membrane GEF @ illuminated pole @ t=4800;Membrane GEF @ non-illuminated pole @ t=4800;Cytosol GEF @ illuminated pole @ t=4800;Cytosol GEF @ non-illuminated pole @ t=4800;Membrane GEF @ illuminated pole @ t=5100;Membrane GEF @ non-illuminated pole @ t=5100;Cytosol GEF @ illuminated pole @ t=5100;Cytosol GEF @ non-illuminated pole @ t=5100;Membrane GEF @ illuminated pole @ t=5400;Membrane GEF @ non-illuminated pole @ t=5400;Cytosol GEF @ illuminated pole @ t=5400;Cytosol GEF @ non-illuminated pole @ t=5400;Membrane GEF @ illuminated pole @ t=5700;Membrane GEF @ non-illuminated pole @ t=5700;Cytosol GEF @ illuminated pole @ t=5700;Cytosol GEF @ non-illuminated pole @ t=5700;Membrane GEF @ illuminated pole @ t=6000;Membrane GEF @ non-illuminated pole @ t=6000;Cytosol GEF @ illuminated pole @ t=6000;Cytosol GEF @ non-illuminated pole @ t=6000
0;32.91192303760736;5.2349e-7;2.3128999999999996e-25;60.;60.;3.0329;1.2446999999999998e-16;59.905;60.;3.0441;2.5466e-11;59.958;60.;2.68;2.3003e-8;59.984;60.;2.2555;1.0196e-6;59.999;60.;1.8575;0.000010791;60.007;60.;1.5102;0.000047725;60.011;60.;1.2181;0.00013367;60.013;60.;0.97768;0.00028445;60.013;60.;0.7823;0.00050164;60.013;60.;0.62435;0.0007676400000000001;60.013;60.;0.49737;0.0010559;60.012;60.;0.39584;0.0013411;60.011;60.;0.31487;0.0016018;60.01;59.999;0.25035;0.0018215;60.009;59.999;0.19895;0.0019897;60.008;59.999;0.15806;0.0021022;60.007;59.999;0.12557;0.0021604;60.006;59.999;0.099792;0.0021693;60.006;59.999;0.079344;0.002136;60.005;59.999;0.063119;0.0020683;60.005;59.999
0.01;38.89590904444506;5.2873e-7;5.2486e-9;60.;60.;3.1328;0.11362;59.898;59.993;3.2104;0.18002;59.95;59.992;2.8812;0.21325;59.977;59.993;2.47;0.22463;59.993;59.994;2.0712;0.22212;60.002;59.995;1.7145;0.21108;60.007;59.996;1.4077;0.19515;60.01;59.997;1.1503;0.17707;60.011;59.998;0.93682;0.15843;60.012;59.998;0.76087;0.14019;60.012;59.999;0.61699;0.12297;60.011;59.999;0.49987;0.10717;60.01;59.999;0.40465;0.092914;60.01;59.999;0.32749;0.080192;60.009;59.999;0.26515;0.068952;60.008;59.999;0.2148;0.05911;60.007;59.999;0.17409;0.05055;60.007;59.999;0.14116;0.04314;60.006;59.999;0.1145;0.036747;60.005;59.999;0.092907;0.03125;60.005;59.999
0.0105;38.89590904444506;5.2899e-7;5.5110000000000005e-9;60.;60.;3.1376;0.1193;59.897;59.992;3.2183;0.189;59.95;59.992;2.8909;0.22389;59.977;59.993;2.4805;0.23584;59.992;59.994;2.0815;0.23314;60.002;59.995;1.7245;0.22149;60.007;59.996;1.4173;0.20479;60.01;59.997;1.1589;0.18573;60.011;59.998;0.94445;0.16608;60.012;59.998;0.76795;0.14693;60.011;59.999;0.62343;0.12894;60.011;59.999;0.50553;0.11243;60.01;59.999;0.4096;0.097509;60.01;59.999;0.33165;0.084178;60.009;59.999;0.26845;0.072392;60.008;59.999;0.21729;0.062052;60.007;59.999;0.17589;0.053044;60.007;59.999;0.14243;0.045239;60.006;59.999;0.11537;0.038504;60.005;59.999;0.093496;0.032711;60.005;59.999
0.011;38.89590904444506;5.2926e-7;5.7734e-9;60.;60.;3.1422;0.12496;59.897;59.992;3.2263;0.19798;59.949;59.991;2.9008;0.23453;59.977;59.992;2.491;0.24705;59.992;59.993;2.0921;0.24428;60.001;59.995;1.7346;0.23215;60.007;59.996;1.4264;0.21461;60.01;59.997;1.1674;0.19466;60.011;59.998;0.95226;0.17416;60.012;59.998;0.77455;0.15409;60.011;59.999;0.62897;0.13511;60.011;59.999;0.51034;0.11773;60.01;59.999;0.41368;0.10203;60.01;59.999;0.33522;0.088023;60.009;59.999;0.2716;0.075663;60.008;59.999;0.22002;0.064841;60.007;59.999;0.17823;0.055413;60.007;59.999;0.14444;0.047243;60.006;59.999;0.11709;0.040197;60.005;59.999;0.094901;0.034133;60.005;59.999
0.0115;38.89590904444506;5.2952e-7;6.0359e-9;60.;60.;3.1468;0.13063;59.897;59.992;3.2343;0.20696;59.949;59.991;2.9104;0.24515;59.976;59.992;2.5014;0.25824;59.992;59.993;2.1024;0.25531;60.001;59.994;1.7446;0.24264;60.007;59.996;1.4358;0.22431;60.009;59.997;1.1759;0.20346;60.011;59.998;0.95986;0.18202;60.011;59.998;0.78128;0.16101;60.011;59.999;0.63494;0.14117;60.011;59.999;0.51551;0.123;60.01;59.999;0.41816;0.10657;60.01;59.999;0.33909;0.091924;60.009;59.999;0.27507;0.078982;60.008;59.999;0.22323;0.06765;60.007;59.999;0.18122;0.0578;60.007;59.999;0.14717;0.049276;60.006;59.999;0.11956;0.04193;60.005;59.999;0.097163;0.035618;60.005;59.999
0.012;41.88790204786391;5.2978e-7;6.298300000000001e-9;60.;60.;3.1514;0.13629;59.896;59.991;3.2422;0.21593;59.949;59.991;2.9202;0.25579;59.976;59.992;2.5119;0.26944;59.992;59.993;2.1127;0.26634;60.001;59.994;1.7545;0.25301;60.006;59.995;1.4452;0.23392;60.009;59.997;1.1842;0.2121;60.011;59.997;0.96711;0.18955;60.011;59.998;0.78816;0.16759;60.011;59.999;0.6414;0.14695;60.011;59.999;0.52132;0.12806;60.01;59.999;0.42333;0.111;60.01;59.999;0.34356;0.095762;60.009;59.999;0.27876;0.082298;60.008;59.999;0.22615;0.0705;60.007;59.999;0.18346;0.060236;60.007;59.999;0.14884;0.051349;60.006;59.999;0.12076;0.043681;60.005;59.999;0.097974;0.03709;60.005;59.999
0.0125;41.88790204786391;5.3004e-7;6.5607e-9;60.;60.;3.156;0.14195;59.896;59.991;3.25;0.22489;59.948;59.99;2.9297;0.26639;59.975;59.991;2.5222;0.28061;59.991;59.993;2.1232;0.27741;60.001;59.994;1.7644;0.26353;60.006;59.995;1.4546;0.24367;60.009;59.996;1.1928;0.22094;60.011;59.997;0.97478;0.1975;60.011;59.998;0.79483;0.17466;60.011;59.999;0.64703;0.15319;60.011;59.999;0.52608;0.13347;60.01;59.999;0.42739;0.1157;60.01;59.999;0.34698;0.099807;60.009;59.999;0.28158;0.085765;60.008;59.999;0.22845;0.073448;60.007;59.999;0.18536;0.062717;60.007;59.999;0.15043;0.053424;60.006;59.999;0.12212;0.045413;60.005;59.999;0.099179;0.038533;60.005;59.999
0.013;41.88790204786391;5.302999999999999e-7;6.8231000000000006e-9;60.;60.;3.1606;0.1476;59.896;59.99;3.2579;0.23385;59.948;59.99;2.9394;0.27701;59.975;59.991;2.5325;0.29179;59.991;59.992;2.1336;0.28848;60.;59.994;1.7745;0.27417;60.006;59.995;1.4636;0.25347;60.009;59.996;1.2009;0.2298;60.011;59.997;0.98209;0.20532;60.011;59.998;0.80138;0.18147;60.011;59.999;0.65302;0.15906;60.011;59.999;0.53148;0.13855;60.01;59.999;0.43213;0.12005;60.01;59.999;0.35115;0.10354;60.009;59.999;0.28526;0.088953;60.008;59.999;0.23171;0.076169;60.007;59.999;0.1882;0.065042;60.007;59.999;0.15287;0.055415;60.006;59.999;0.12416;0.04712;60.005;59.999;0.10086;0.039987;60.005;59.999
0.0135;41.88790204786391;5.3057e-7;7.0856000000000004e-9;60.;60.;3.1651;0.15325;59.895;59.99;3.2657;0.2428;59.947;59.989;2.949;0.28761;59.975;59.99;2.5429;0.30296;59.991;59.992;2.1438;0.29946;60.;59.994;1.7841;0.28445;60.006;59.995;1.4724;0.2629;60.009;59.996;1.2092;0.23836;60.01;59.997;0.98977;0.21305;60.011;59.998;0.80829;0.18838;60.011;59.998;0.65896;0.1652;60.011;59.999;0.53654;0.14391;60.01;59.999;0.43644;0.12471;60.01;59.999;0.35478;0.10757;60.009;59.999;0.2883;0.09239;60.008;59.999;0.23428;0.079056;60.007;59.999;0.19044;0.067458;60.007;59.999;0.15483;0.057444;60.006;59.999;0.1259;0.048827;60.005;59.999;0.10239;0.041425;60.005;59.999
0.014;41.88790204786391;5.308299999999999e-7;7.348000000000001e-9;60.;60.;3.1697;0.1589;59.895;59.99;3.2736;0.25175;59.947;59.989;2.9586;0.29822;59.974;59.99;2.5532;0.31413;59.99;59.992;2.1541;0.3105;60.;59.993;1.7941;0.29494;60.006;59.995;1.4819;0.27263;60.009;59.996;1.2177;0.24715;60.01;59.997;0.99724;0.22086;60.011;59.998;0.81492;0.19526;60.011;59.998;0.66486;0.17118;60.011;59.999;0.54175;0.14909;60.01;59.999;0.44102;0.12915;60.009;59.999;0.35877;0.11137;60.009;59.999;0.29175;0.09566;60.008;59.999;0.23722;0.08188;60.007;59.999;0.1929;0.069881;60.007;59.999;0.15688;0.059498;60.006;59.999;0.12762;0.050555;60.005;59.999;0.10384;0.042876;60.005;59.999
